Tarih,Tweet
2026-03-11 00:31,"Canı istemediği için işe gitmeyin mesai bitimine 1 saat kala ACİL SERVİS e rapor almaya gelen üniversite mezunu kadın, onu azarladığım için beni cimere şikayet ettiğini, istifa edip kahve dükkanı açtıktan sonra müşteri olarak geldiğinde itiraf etti. Azarlama lüksü?"
2026-03-11 00:31,o zaman istifa edicen a101e girip çikolata yerleştiricen çok şikayetciysen. şu müşteri temsilcileri kadar beyinsiz işini yapamayan türkçe özürlüsü iş alanı yok
2026-03-11 00:31,Kalan maçlarda puan kaybetme olasılığımızın yüksek olduğu sadece Trabzon maçı var. Diğer tüm maçlara ağır favori çıkacağız. Ama eminim ki Trabzon maçında olası bir puan kaybında buralar yine yangın yeri olacak ve bu müşteri güruhu yine istifa çığırtkanlığı yapacak.
2026-03-11 00:31,@abdullahkavukcu dünyanın en kötü yönetimi Galatasaray tarihinin gelmiş geçmiş en yalan dolan taraftarını müşteri olarak gören düşünmeyen poşet veren dünyanın en kötü insanları yönetimi umarım istifa edersiniz #DursunÖzbekİstifa
2026-03-11 00:31,"Taraftarı müşteri yerine yeni koymuuyorlar, buna da itiraz hep lafta.. Kimse maça gidip yönetim istifa diye bağırmıyor, pankart bile açılmıyor. X den 1-2 yalandan saçma sapan hesaplara haber pomplatıyorlar bitti gitti. Bu taraftar kitlesine Müstehak.."
2026-03-11 00:31,Taraftar mısın müşteri misin ne bu amk futbol böyle bir şey mi bir anasına sövmediğiniz kaldı sene sonu  muhtemelen gidecekti ne bu kudurukluğunuz şımardınız iyice hocaya istifa yönetime istifa efsaneye siktir git ne istiyonuz amk
2026-03-11 00:44,abla o zaman yarın istifa et bir motor al ehliyet al ve kurye ol .
2026-03-11 00:44,"Normal bir ulkede istifa ve etkili bir dava sureci olmasi gerekirken, olen iki genc insan sadece oldukleri ile kalacaklar, dusunursek videolu motor kurye ezenler disarida iken, cinayet isleyenler denetimli serbestlikle disarda olanlar olurken vb durumlar bu ulkede adalet aramak.."
2026-03-11 00:44,Valla istifa et git bakanım bizi bu kadar sıkıştırman ile bu iş olmayacak siz hepiniz @RTErdogan  ‘ı halka küstürüyorsunuz motor kurye yerine ötelenen firmaların vergilerini alın spor kulüpleri bitmiş onlara bakın
2026-03-11 00:44,"Polis arkadas bu işi bırakıp motor kuryeliğe, Kurye arkadasta istifa edip polisliğe basvursun insanlar dogru islerde kullanılırsa memlekete daha cok faydaları olur"
2026-03-11 00:44,Hanfendi diplomanı iptal etmene gerek yok.istifa et bir motor al sende kurye ol o parayı sende kazan
2026-03-11 00:44,Abla istifa et bir tane motor al kurye ol yada yine istifa et sıva yapmayı öğren daha fazla kazan yada şey yap mesela onca okul okuyup akşam 5 e kadar hiçbir bok yapmayıp bedavadan asgari ücret al sen karar ver
2026-03-11 00:44,Ben bilmem haberlerde görmüştüm hatta şaşırmıştım bir çok kişi istifa edip motor alip kuryelige başlamış. Moto kurye orgda yazan maasta o tabi sağlam çalışmak lazımmış
2026-03-11 00:44,Murat bey ülkede doktorlar patır patır istifa ediyor. Yurtdışına gidiyor ya da evde çocuk bakıyor. Ben motor alıp kurye olursam şu anda kazandığımın 2 katı parayı daha az riskle kazanıyorum. BU ÜLKENİN DOKTORA İHTİYACI VAR. Personele değil. Yüzbinlerce personel var boşta
2026-03-11 00:44,Motor kurye bana diyo ki doktor abla bence istifa et değmez ahahah. Yaşı 20.
2026-03-11 00:44,Kanki tus olmazsa istifa ediyorum açıkcası. Geçen motor kurye hastamla sohbet ettim 1000 lira fark vardı.
2026-03-11 00:44,"Ben bu kadar sinir stresi kaldıramıyorum artık, istifa edip getir’de kurye olmak istiyorum. A2 ehliyetim var ve motor sürmeyi de severim."
2026-03-11 00:47,"Mekan işletsen habere aşçı ile garson/komi değiştirsen müşterin kaçar. Futbolda sen habire direktör değiştirsen, diğer direktörlerde kaçar. 'Ben neden kariyerimi risk edeyim' der gelmez ki haklılarda ben olsam bende gitmezdim, riske değmez. 2Mağlubiyete istifa diye strese değmez."
2026-03-11 00:47,"Ferrari alıyorsun köy yoluna sokmuşsun.osimhen,icardi,bats elde var onlara top götürecek adam yok.mutfakta dünyanın en iyi aşçıları var ,garson komi yok ,al gülüm seyreyle #yonetim istifa"
